,ft_name,profile_corr,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
4,clipvision_patches,0.0352825987199579,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,80-20,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,80-20,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,80-20,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,80-20,500
3,clipvision_final,0.2096440897636042,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,80-20,500
4,clipvision_patches,0.0776757896262131,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,80-20,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,80-20,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,80-20,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,80-20,500
3,clipvision_final,0.0325768355155546,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,80-20,500
4,clipvision_patches,0.0348851929272901,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,80-20,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,70-30,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,70-30,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,70-30,500
3,clipvision_final,0.1824849177876961,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,70-30,500
4,clipvision_patches,0.073048683189978,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,70-30,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,70-30,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,70-30,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,70-30,500
3,clipvision_final,0.0480902999054941,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,70-30,500
4,clipvision_patches,0.0374339489901748,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,70-30,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,70-30,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,70-30,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,70-30,500
3,clipvision_final,0.2007811480835115,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,70-30,500
4,clipvision_patches,0.0724076829611348,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,70-30,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,70-30,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,70-30,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,70-30,500
3,clipvision_final,0.0338644905883224,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,70-30,500
4,clipvision_patches,0.0356470107366882,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,70-30,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,50-50,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,50-50,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,50-50,500
3,clipvision_final,0.1646390042034047,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,50-50,500
4,clipvision_patches,0.0729020191449636,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,50-50,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,50-50,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,50-50,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,50-50,500
3,clipvision_final,0.0389592448335016,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,50-50,500
4,clipvision_patches,0.0361853563298321,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,50-50,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,50-50,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,50-50,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,50-50,500
3,clipvision_final,0.1826054746275943,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,50-50,500
4,clipvision_patches,0.0748002607867987,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,50-50,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,50-50,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,50-50,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,50-50,500
3,clipvision_final,0.0354591003962067,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,50-50,500
4,clipvision_patches,0.0355845698364818,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,50-50,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,fgsm,adversarial,0.03,5,,
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,fgsm,adversarial,0.03,5,,
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,fgsm,adversarial,0.03,5,,
3,clipvision_final,0.213584864873871,deeprecon,KS,test,brain_diffuser,fgsm,adversarial,0.03,5,,
4,clipvision_patches,0.0840655894570276,deeprecon,KS,test,brain_diffuser,fgsm,adversarial,0.03,5,,
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,fgsm,adversarial,0.03,5,,
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,fgsm,adversarial,0.03,5,,
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,fgsm,adversarial,0.03,5,,
3,clipvision_final,0.0262187454899181,deeprecon,KS,art,brain_diffuser,fgsm,adversarial,0.03,5,,
4,clipvision_patches,0.0378149793553851,deeprecon,KS,art,brain_diffuser,fgsm,adversarial,0.03,5,,
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0.03,5,,
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0.03,5,,
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0.03,5,,
3,clipvision_final,0.2165326602490665,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0.03,5,,
4,clipvision_patches,0.0822744174202303,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0.03,5,,
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0.03,5,,
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0.03,5,,
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0.03,5,,
3,clipvision_final,0.0253502558109797,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0.03,5,,
4,clipvision_patches,0.0378592541634522,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0.03,5,,
0,vdvae,0.0008130674636661,deeprecon,ES,test,brain_diffuser,NO_PERT,,,,,
1,cliptext_final,0.2780724714847875,deeprecon,ES,test,brain_diffuser,NO_PERT,,,,,
2,cliptext_tokens,0.270412758397955,deeprecon,ES,test,brain_diffuser,NO_PERT,,,,,
3,clipvision_final,0.2398393072050076,deeprecon,ES,test,brain_diffuser,NO_PERT,,,,,
4,clipvision_patches,0.0932072247677595,deeprecon,ES,test,brain_diffuser,NO_PERT,,,,,
0,vdvae,0.0004734029439754,deeprecon,ES,art,brain_diffuser,NO_PERT,,,,,
1,cliptext_final,0.0478186523217342,deeprecon,ES,art,brain_diffuser,NO_PERT,,,,,
2,cliptext_tokens,0.0589016005025498,deeprecon,ES,art,brain_diffuser,NO_PERT,,,,,
3,clipvision_final,0.0253209730737066,deeprecon,ES,art,brain_diffuser,NO_PERT,,,,,
4,clipvision_patches,0.0427280975040695,deeprecon,ES,art,brain_diffuser,NO_PERT,,,,,
0,vdvae,0.0008130674636661,deeprecon,ES,test,brain_diffuser,fgsm,friendly,0,5,,
1,cliptext_final,0.2780724714847875,deeprecon,ES,test,brain_diffuser,fgsm,friendly,0,5,,
2,cliptext_tokens,0.270412758397955,deeprecon,ES,test,brain_diffuser,fgsm,friendly,0,5,,
3,clipvision_final,0.2478833767430247,deeprecon,ES,test,brain_diffuser,fgsm,friendly,0,5,,
4,clipvision_patches,0.0868711994336118,deeprecon,ES,test,brain_diffuser,fgsm,friendly,0,5,,
